Filename,CurrentPath,SizeBytes,SizeMB,DuplicateStatus,DuplicateOf
GROUP- april26.jpg,images2/GROUP- april26.jpg,1762267,1.68,no duplicate found,
IMG-20250513-WA0002.jpg,images2/IMG-20250513-WA0002.jpg,1491491,1.42,no duplicate found,
TAMBO 3-PROFS.jpg,images2/TAMBO 3-PROFS.jpg,1001324,0.95,no duplicate found,
Raul LAKE.jpg,images2/Raul LAKE.jpg,866543,0.83,no duplicate found,
tambo1-view.jpg,images/tambo1-view.jpg,853684,0.81,exact duplicate (byte-identical),images2/TAMBO1- another view.jpg
TAMBO1- another view.jpg,images2/TAMBO1- another view.jpg,853684,0.81,exact duplicate (byte-identical),images/tambo1-view.jpg
TAMBO7 - PROFESS.jpg,images2/TAMBO7 - PROFESS.jpg,778342,0.74,no duplicate found,
people-dominga.jpg,images/people-dominga.jpg,770472,0.73,no duplicate found,
bighouse-sunlight.jpg,images/bighouse-sunlight.jpg,736185,0.70,exact duplicate (byte-identical),images2/bighouse-sunligh.jpg
bighouse-sunligh.jpg,images2/bighouse-sunligh.jpg,736185,0.70,exact duplicate (byte-identical),images/bighouse-sunlight.jpg
tambo7-lakeview.jpg,images/tambo7-lakeview.jpg,692379,0.66,exact duplicate (byte-identical),images2/TAMBO7 LAKE VIEW.jpg;images2/TAMBO4-ELLI.jpg;images2/TAMBO-6Y7 - ELLI.jpg
TAMBO7 LAKE VIEW.jpg,images2/TAMBO7 LAKE VIEW.jpg,692379,0.66,exact duplicate (byte-identical),images/tambo7-lakeview.jpg;images2/TAMBO4-ELLI.jpg;images2/TAMBO-6Y7 - ELLI.jpg
TAMBO4-ELLI.jpg,images2/TAMBO4-ELLI.jpg,692379,0.66,exact duplicate (byte-identical),images/tambo7-lakeview.jpg;images2/TAMBO7 LAKE VIEW.jpg;images2/TAMBO-6Y7 - ELLI.jpg
TAMBO-6Y7 - ELLI.jpg,images2/TAMBO-6Y7 - ELLI.jpg,692379,0.66,exact duplicate (byte-identical),images/tambo7-lakeview.jpg;images2/TAMBO7 LAKE VIEW.jpg;images2/TAMBO4-ELLI.jpg
LAKE2-IEVETA.jpg,images2/LAKE2-IEVETA.jpg,688092,0.66,no duplicate found,
TAMBO-6Y5-REMI.jpg,images2/TAMBO-6Y5-REMI.jpg,668779,0.64,no duplicate found,
dogs-puente.jpg,images/dogs-puente.jpg,654181,0.62,exact duplicate (byte-identical),images2/DOGS - Puente.jpg
TAMBONUM7-REMI.jpg,images2/TAMBONUM7-REMI.jpg,650970,0.62,no duplicate found,
private tambo outside view.jpeg,images2/private tambo outside view.jpeg,631804,0.60,no duplicate found,
TAMBO7 - REMI.jpg,images2/TAMBO7 - REMI.jpg,625982,0.60,no duplicate found,
tambo4-quino.jpg,images2/tambo4-quino.jpg,612120,0.58,no duplicate found,
TAMBO3-DESS.jpg,images2/TAMBO3-DESS.jpg,598145,0.57,no duplicate found,
tambo-lakeview.jpg,images/tambo-lakeview.jpg,577955,0.55,exact duplicate (byte-identical),images2/TAMBO 4 LAKE VIEW.jpg;images2/IMG-20240709-WA0000.jpg
TAMBO 4 LAKE VIEW.jpg,images2/TAMBO 4 LAKE VIEW.jpg,577955,0.55,exact duplicate (byte-identical),images/tambo-lakeview.jpg;images2/IMG-20240709-WA0000.jpg
IMG-20240709-WA0000.jpg,images2/IMG-20240709-WA0000.jpg,577955,0.55,exact duplicate (byte-identical),images/tambo-lakeview.jpg;images2/TAMBO 4 LAKE VIEW.jpg
LAKE-TMABO1-REMI.jpg,images2/LAKE-TMABO1-REMI.jpg,574557,0.55,no duplicate found,
mapacho sunny view.jpeg,images2/mapacho sunny view.jpeg,556985,0.53,exact duplicate (byte-identical),images2/dreamglade-sunny-communal-area.jpeg
MALOKA2 - JONH IRISH.jpg,images2/MALOKA2 - JONH IRISH.jpg,556035,0.53,no duplicate found,
BIGHOUSE-JEFF.jpg,images2/BIGHOUSE-JEFF.jpg,545895,0.52,no duplicate found,
IMG-20240326-WA0011.jpg,images2/IMG-20240326-WA0011.jpg,521590,0.50,no duplicate found,
bighouse-rain.jpg,images/bighouse-rain.jpg,518735,0.49,exact duplicate (byte-identical),images/hero-alt-bighouse-rain.jpg;images2/BIG HOUS-RAIN.jpg
